date,open,close
2016-01-29,3.5000,3.0000
2016-02-01,3.0000,3.0000
2016-02-02,3.0000,3.0000
2016-02-03,3.0000,3.0000
2016-02-04,3.0000,3.0000
2016-02-05,3.0000,3.0000
2016-02-08,3.0000,3.0000
2016-02-09,3.0000,3.0000
2016-02-10,3.0000,3.0000
2016-02-11,3.0000,3.0000
2016-02-12,3.0000,3.0000
2016-02-16,3.0000,3.0000
2016-02-17,3.0000,3.0000
2016-02-18,3.0000,3.0000
2016-02-19,3.0000,3.0000
2016-02-22,3.0000,3.0000
2016-02-23,3.0000,3.0000
2016-02-24,3.0000,3.0000
2016-02-25,3.0000,3.0000
2016-02-26,3.0000,3.0000
2016-02-29,3.0000,3.0000
2016-03-01,3.0000,3.0000
2016-03-02,3.0000,3.0000
2016-03-03,3.0000,3.0000
2016-03-04,3.0000,3.0000
2016-03-07,3.0000,3.0000
2016-03-08,3.0000,3.0000
2016-03-09,3.0000,3.0000
2016-03-10,3.0000,3.0000
2016-03-11,3.0000,3.0000
2016-03-14,3.0000,3.0000
2016-03-15,3.0000,3.0000
2016-03-16,3.0000,3.0000
2016-03-17,3.0000,3.0000
2016-03-18,3.0000,3.0000
2016-03-21,3.0000,3.0000
2016-03-22,3.0000,3.0000
2016-03-23,3.0000,3.0000
2016-03-24,3.0000,3.0000
2016-03-28,2.2500,2.2500
2016-03-29,2.2500,2.2500
2016-03-30,2.2500,2.2500
2016-03-31,3.0000,3.0000
2016-04-01,3.0000,3.0000
2016-04-04,3.0000,3.0000
2016-04-05,3.0000,3.0000
2016-04-06,3.0000,3.0000
2016-04-07,3.0000,3.0000
2016-04-08,3.0000,3.0000
2016-04-11,3.0000,3.0000
2016-04-12,3.5000,3.5000
2016-04-13,3.5000,3.5000
2016-04-14,3.5000,3.5000
2016-04-15,3.5000,3.5000
2016-04-18,3.5000,3.5000
2016-04-19,3.5000,3.5000
2016-04-20,3.5000,3.5000
2016-04-21,3.5000,3.5000
2016-04-22,3.5000,3.5000
2016-04-25,3.5000,3.5000
2016-04-26,3.5000,3.5000
2016-04-27,3.5000,3.5000
2016-04-28,3.5000,3.5000
2016-04-29,3.7500,3.7500
2016-05-02,3.5000,3.0000
2016-05-03,3.0000,3.0000
2016-05-04,3.0000,3.0000
2016-05-05,3.0000,3.0000
2016-05-06,3.0000,3.0000
2016-05-09,3.0000,3.0000
2016-05-10,3.0000,3.0000
2016-05-11,3.0000,3.0000
2016-05-12,3.0000,3.0000
2016-05-13,3.2500,3.2500
2016-05-16,3.4500,3.0000
2016-05-17,3.0000,3.0000
2016-05-18,3.1500,3.1500
2016-05-19,2.0000,2.0000
2016-05-20,3.0000,3.0000
2016-05-23,3.0000,3.0000
2016-05-24,3.0000,3.0000
2016-05-25,3.2500,3.2500
2016-05-26,3.2000,3.2000
2016-05-27,3.2500,3.2500
2016-05-31,3.2500,3.2500
2016-06-01,3.2500,3.0000
2016-06-02,3.0000,3.0000
2016-06-03,3.1000,3.1000
2016-06-06,3.1000,3.1000
2016-06-07,3.1000,3.1000
2016-06-08,3.1000,3.1000
2016-06-09,3.1000,3.1000
2016-06-10,3.1000,3.1000
2016-06-13,3.1000,3.1000
2016-06-14,3.1000,3.1000
2016-06-15,3.1000,3.1000
2016-06-16,3.0600,3.2500
2016-06-17,3.0000,3.0000
2016-06-20,3.0000,3.0000
2016-06-21,3.0000,3.0000
2016-06-22,3.0000,3.0000
2016-06-23,3.2500,3.3000
2016-06-24,3.2500,3.2500
2016-06-27,3.2500,3.2500
2016-06-28,3.2500,3.2500
2016-06-29,3.5000,3.5000
2016-06-30,3.5000,3.5000
2016-07-01,3.5000,3.5000
2016-07-05,3.5000,3.5000
2016-07-06,3.2000,3.2000
